1.png	1 1 +  6 4 = 7 5 
80.png	\overset { 1 } { } \overset { 1 } { 5 } 9 + 4 8 = 1 0 7 
81.png	1 4 + 2 0 = 3 4 
82.png	\overset { 1 } { 2 } 5 + 1 6 = 4 1 
83.png	2 \overset { 1 } { 1 } 3 + 9 = 2 2 2 
84.png	4 5 6 - 1 2 3 = 3 3 3 
85.png	\overset { 1 } { 1 } 5 + 2 8 = 4 3 
86.png	7 7 + 2 2 = 9 9 
87.png	1 4 \overset { 1 } { 4 } - \overset { 1 } { 2 } 7 = 1 1 7 
88.png	\overset { 1 } { 4 } 7 + 8 1 = 1 2 8 
89.png	4 \overset { 1 } { 0 } \overset { 1 } { 1 } - \overset { 1 } { 3 } \overset { 1 } { 9 } 9 = 0 0 2 
90.png	7 \overset { 1 } { 6 } - \overset { 1 } { 2 } 7 = 4 9 
91.png	\overset { 1 } { 2 } 7 + 8 2 = 1 0 9 
92.png	4 1 \overset { 1 } { 2 } - 2 \overset { 1 } { 0 } 3 = 2 0 9 
93.png	6 \overset { 1 } { 7 } \overset { 1 } { 0 } - \overset { 1 } { 1 } \overset { 1 } { 9 } 8 = 4 7 2 
94.png	1 \overset { 1 } { 0 } 3 + 2 7 = 1 3 0 
95.png	\overset { 1 } { 3 } \overset { 1 } { 3 }  3 + 2 9 8 = 6 3 1 
96.png	1 6 + 5 2 = 6 8 
97.png	4 2 + 3 6 = 7 8 
98.png	\overset { 1 } { } \overset { 1 } { 8 }  6 + 9 7 = 1 8 3 
99.png	7 \overset { 1 } { 0 }  - \overset { 1 } { 2 }  6 = 4 4 
100.png	4 5 + 2 2 = 6 7 
101.png	\overset { 1 } { } { 8 }  \overset { 1 } { 5 }  6 + 7 0 9 = 1 5 6 5 
102.png	9 \overset { 1 } { 6 }  5 - \overset { 1 } { 7 }  8 3 = 1 8 2 
103.png	\overset { 1 } { 6 }  7 5 + 8 3 2 = 1 5 0 7 
104.png	8 \overset { 1 } { 3 }  \overset { 1 } { 2 }  - \overset { 1 } { 6 }  \overset { 1 } { 7 }  5 = 1 5 7 
105.png	\overset { 1 } { } 9 \overset { 1 } { 2 }  8 + 5 0 4 = 1 4 3 2 
106.png	\overset { 1 } { 7 }  \overset { 1 } { 5 }  7 + 9 3 = 8 5 0 
107.png	5 \overset { 1 } { 2 }  \overset { 1 } { 2 }  - \overset { 1 } { 4 }  \overset { 1 } { 6 }  8 = 0 5 4 
108.png	\overset { 1 } { 8 }  \overset { 1 } { 8 }  3 + 4 2 7 = 1 3 1 0 
109.png	5 \overset { 1 } { 0 }  \overset { 1 } { 6 }  - \overset { 1 } { 3 }  \overset { 1 } { 7 }  9 = 1 2 7 
110.png	4 \overset { 1 } { 4 }  \overset { 1 } { 7 }  - \overset { 1 } { } \overset { 1 } { 7 }  8 = 3 6 9 
111.png	\overset { 1 } { } 9 2 + 7 1 = 1 6 3 
112.png	8 \overset { 1 } { 0 }  - \overset { 1 } { 4 }  4 = 3 6 
113.png	5 9 3 - 5 9 3 = 0 
114.png	\overset { 1 } { 2 }  4 + 1 9 = 4 3 
115.png	9 \overset { 1 } { 3 }  - \overset { 1 } { 6 }  5 = 2 8 
116.png	\overset { 1 } { 1 }  \overset { 1 } { 8 }  8 + 2 6 9 = 4 5 7 
117.png	5 \overset { 1 } { 4 }  5 - \overset { 1 } { 3 }  5 4 = 1 9 1 
118.png	4 4 4 + 4 4 4 = 8 8 8 
119.png	\overset { 1 } { } \overset { 1 } { 2 }  3 + 1 7 8 = 2 0 1 
120.png	9 8 \overset { 1 } { 3 }  - 1 \overset { 1 } { 2 }  9 = 8 5 4 
121.png	3 \overset { 1 } { 0 }  2 + 5 6 8 = 8 7 0 
122.png	7 \overset { 1 } { 5 }  \overset { 1 } { 0 }  - \overset { 1 } { 6 }  \overset { 1 } { 9 }  5 = 0 5 5 
123.png	4 \overset { 1 } { 1 }  \overset { 1 } { 3 }  - \overset { 1 } { } \overset { 1 } { 9 }  5 = 3 1 8 
124.png	\overset { 1 } { 1 }  4 8 + 3 9 1 = 5 3 9 
125.png	6 \overset { 1 } { 4 }  \overset { 1 } { 1 }  - \overset { 1 } { 2 }  \overset { 1 } { 7 }  6 = 3 6 5 
126.png	\overset { 1 } { } 6 4 + 2 6 4 = 3 2 8
127.png	6 \overset { 1 } { 1 }  \overset { 1 } { 1 }  - \overset { 1 } { 5 }  \overset { 1 } { 2 }  8 = 0 8 3
128.png	\overset { 1 } { } \overset { 1 } { } 7 4 + 9 8 3 = 1 0 5 7
129.png	7 2 \overset { 1 } { 3 }  - 4 \overset { 1 } { 0 }  8 = 3 1 5
130.png	\overset { 1 } { } \overset { 1 } { 6 }  \overset { 1 } { 7 }  8 + 8 7 6 = 1 5 5 4
131.png	1 \overset { 1 } { 3 }  \overset { 1 } { 1 }  - \overset { 1 } { } \overset { 1 } { 9 }  5 = 0 3 6
132.png	\overset { 1 } 3 9 8 + 5 7 0 = 9 6 8
133.png	6 \overset { 1 } { 1 }  1 - \overset { 1 } { 1 }  8 1 = 4 3 0
134.png	\overset { 1 } { 2 }  \overset { 1 } { 2 }  4 + 1 9 8 = 4 2 2
135.png	2 \overset { 1 } { 2 }  \overset { 1 } { 4 }  - \overset { 1 } { 1 }  \overset { 1 } { 9 }  8 = 0 2 6
136.png	5 \overset { 1 } { 0 }  \overset { 1 } { 0 }  - \overset { 1 } { 4 }  \overset { 1 } { 9 }  9 = 0 0 1
137.png	\overset { 1 } { 3 }  5 5 + 1 5 0 = 5 0 5
138.png	6 \overset { 1 } { 3 }  8 - \overset { 1 } { } 4 5 = 5 9 3
139.png	\overset { 1 } { } \overset { 1 } { 9 }  9 + 8 6 5 = 9 6 4
140.png	7 \overset { 1 } { 2 }  \overset { 1 } { 8 }  - \overset { 1 } { 3 }  \overset { 1 } { 4 }  9 = 3 7 9
141.png	\overset { 1 } { } 8 1 + 5 5 = 1 3 6
142.png	8 \overset { 1 } { 1 }  - \overset { 1 } { 5 }  5 = 2 6
143.png	3 \overset { 1 } { 1 }  \overset { 1 } { 1 }  - \overset { 1 } { 1 }  \overset { 1 } { 1 }  2  = 1 9 9
144.png	\overset { 1 } { } 8 1 + 1 2 5 = 2 0 6
145.png	\overset { 1 } { 1 }  \overset { 1 } { 8 }  7 + 1 8 = 2 0 5
146.png	\overset { 1 } { } 9 7 + 3 2 1 = 4 1 8
147.png	4 \overset { 1 } { 3 }  9 - \overset { 1 } { 2 }  8 5 = 1 5 4
148.png	\overset { 1 } { } \overset { 1 } { 8 }  \overset { 1 } { 2 }  9 + 1 9 2 = 1 0 2 1
149.png	5 \overset { 1 } { 2 }  6 - \overset { 1 } { } 3 3 = 4 9 3
150.png	\overset { 1 } { 2 }  \overset { 1 } { 4 }  8 + 3 5 9 = 6 0 7
151.png	8 + 8 = 1 6
152.png	\overset { 1 } { 1 } 6 + 1 6 = 3 2
153.png	3 2 + 3 2 = 6 4
154.png	6 4 + 6 4 = 1 2 8
155.png	1 \overset { 1 } { 2 } 8 + 1 2 8 = 2 5 6
156.png	\overset { 1 } { 2 } \overset { 1 } { 5 } 6 + 2 5 6 = 5 1 2
157.png	5 1 2 + 5 1 2 = 1 0 2 4
158.png	3 + 3 = 6
159.png	6 + 6 = 1 2
160.png	1 2 + 1 2 = 2 4
161.png	2 4 + 2 4 = 4 8
162.png	\overset { 1 } { 4 } 8 + 4 8 = 9 6
163.png	\overset { 1 } { 9 } 6 + 9 6 = 1 9 2
164.png	\overset { 1 } { 1 } 9 2 + 1 9 2 = 3 8 4
165.png	\overset { 1 } { 3 } 8 4 + 3 8 4 = 7 6 8
166.png	\overset { 1 } { 7 } \overset { 1 } { 6 } 8 + 7 6 8 = 1 5 3 6
167.png	4 + 4 = 8
168.png	\overset { 1 } { 4 } \overset { 1 } { 5 } 6 + 6 5 4 = 1 1 1 0
169.png	1 2 3 + 3 2 1 = 4 4 4
170.png	1 5 1 + 6 2 6 = 7 7 7
171.png	\overset { 1 } { 3 } 6 + 2 4 = 6 0
172.png	5 + 4 = 9
173.png	3 + 4 = 7
174.png	7 + 1 = 8
175.png	1 3 + 9 1 = 1 0 4
176.png	3 2 + 4 5 = 7 7
177.png	\overset { -1 } { 7 } \overset { 1 } { 1 } - 1 9 = 5 2
178.png	9 9 - 9 = 9 0
179.png	\overset { -1 } { 9 } \overset { 1 } { 0 } - 9 = 8 1
180.png	\overset { -1 } { 8 } 1 - 9 = 7 2
181.png	\overset { -1 } { 7 } \overset { 1 } { 2 } - 9 = 6 3
182.png	\overset { -1 } { 6 } \overset { 1 } { 3 } - 9 = 5 4
183.png	\overset { -1 } { 5 } \overset { 1 } { 4 } - 9 = 4 5
184.png	\overset { -1 } { 4 } \overset { 1 } { 5 } - 9 = 3 6
185.png	3 6 - 9 = 2 7
186.png	\overset { -1 } { 2 } \overset { 1 } { 7 } - 9 = 1 8
187.png	\overset { -1 } { 1 } \overset { 1 } { 8 } - 9 = 0 9
188.png	9 - 9 = 0
190.png	1 7 - 1 6 = 0 1
191.png	\overset { -1 } { 5 } \overset { 1 } { 2 } - 4 9 = 0 3
192.png	0 3 - 0 1 = 0 2
193.png	\overset { -1 } { 4 } 8 - 2 9 = 1 9
195.png	1 2 8 - 2 8 = 1 0 0
197.png	9 9 - 1 = 9 8
198.png	9 8 - 4 4 = 5 4
199.png	\overset { -1 } { 2 } \overset { 1 } { 2 } - 9 = 1 3
200.png	1 0 - 1 0 = 0 0
201.png	1 2 + 6 = 1 8
202.png	1 2 + 2 4 = 3 6
203.png	\overset{ 1 } { 2 } 1 8 + 1 9 1  = 4 0 9
204.png	\overset { 1 } { 3 }  7 + 1 1 4 = 1 5 1
205.png	1 \overset { 1 } { 2 }  \overset { 1 } { 5 }  - \overset { 1 } { } \overset { 1 } { 6 }  7 = 0 5 8
206.png	2 1 + 3 6 = 5 7
207.png	1 \overset { 1 } { 6 }  \overset { 1 } { 4 }  - \overset { 1 } { } \overset { 1 } { 6 }  9 = 9 5
208.png	\overset { 1 } { 1 }  5 3 + 1 9 6 = 3 4 9
209.png	\overset { 1 } { } \overset { 1 } { 4 }  6 + 7 4 = 1 2 0
210.png	1 \overset { 1 } { 6 }  7 - \overset { 1 } { } 8 6 = 0 8 1
211.png	1 5 \overset { 1 } { 5 }  - \overset { 1 } { 3 }  8 = 1 1 7
212.png	2 8 + 1 0 = 3 8
213.png	1 7 4 - 3 4 = 1 4 0
214.png	\overset { 1 } { 1 }  9 0 + 1 6 3 = 3 5 3
215.png	1 \overset { 1 } { 1 }  \overset { 1 } { 2 }  - \overset { 1 } { } \overset { 1 } { 7 }  3 = 0 3 9
216.png	1 \overset { 1 } { 5 }  5 + 1 1 8 = 2 7 3
217.png	9 \overset { 1 } { 0 }  \overset { 1 } { 1 }  - \overset { 1 } { 1 }  \overset { 1 } { 9 }  2 = 7 0 9
218.png	\overset { 1 } { } \overset { 1 } { 2 }  9 3 + 9 5 1 = 1 2 4 4
219.png	1 \overset { 1 } { 2 }  3 - \overset { 1 } { } 5 2 = 0 7 1
220.png	1 \overset { 1 } { 0 }  2 - \overset { 1 } { } 8 2 = 2 0
221.png	\overset { 1 } { 2 }  \overset { 1 } { 8 }  6 + 1 7 7 = 4 6 3
222.png	\overset { 1 } { 2 }  5 0 + 7 6 = 3 2 6
223.png	2 \overset { 1 } { 3 }  \overset { 1 } { 1 }  - \overset { 1 } { } \overset { 1 } { 6 }  7 = 1 6 4
224.png	\overset { 1 } { 4 }  \overset { 1 } { 7 }  8 + 1 3 4 = 6 1 2
225.png	\overset { 1 } { 1 }  \overset { 1 } { 3 }  4 + 4 7 8 = 6 1 2
226.png	7 \overset { 1 } { 4 }  \overset { 1 } { 6 }  - \overset { 1 } { } \overset { 1 } { 5 }  8 = 6 8 8
227.png	4 \overset { 1 } { 5 }  1 - \overset { 1 } { 3 }  6 0 = 0 9 1
228.png	\overset { 1 } { 1 }  \overset { 1 } { 8 }  9 + 1 3 3 = 3 2 2
229.png	4 \overset { 1 } { 2 }  4 - \overset { 1 } { 1 }  7 2 = 2 5 2
230.png	\overset { 1 } { } 4 \overset { 1 } { 1 }  7 + 9 5 5 = 1 3 7 2
231.png	\overset { 1 } { 2 }  8 6 + 8 1 = 3 6 7
232.png	\overset { 1 } { } 2 1 2 + 8 4 5 = 1 0 5 7
233.png	7 \overset { 1 } { 5 }  \overset { 1 } { 7 }  - \overset { 1 } { 4 }  \overset { 1 } { 5 }  8 = 2 9 9
234.png	\overset { 1 } { 6 }  9 8 + 5 0 = 7 4 8
235.png	5 3 \overset { 1 } { 1 }  - 5 \overset { 1 } { 2 }  3 = 0 0 8
236.png	8 \overset { 1 } { 2 }  \overset { 1 } { 0 }  - \overset { 1 } { 4 }  \overset { 1 } { 5 }  4 = 3 6 6
237.png	\overset { 1 } { 5 }  9 7 + 3 1 = 6 2 8
238.png	8 \overset { 1 } { 4 }  9 - \overset { 1 } { 1 }  7 3 = 6 7 6
239.png	7 \overset { 1 } { 2 }  1 - \overset { 1 } { 4 }  4 0 = 2 8 1
240.png	\overset { 1 } { 9 }  9 0 + 7 2 4 = 1 7 1 4
241.png	9 9 \overset { 1 } { 0 }  - 7 \overset { 1 } { 2 }  4 = 2 6 6
242.png	2 8 4 + 4 0 4 = 6 8 8
243.png	4 \overset { 1 } { 0 }  4 - \overset { 1 } { 2 }  8 4 = 1 2 0
244.png	\overset { 1 } { 1 }  \overset { 1 } { 9 }  5 + 4 8 9 = 6 8 4
245.png	4 \overset { 1 } { 8 }  9 - \overset { 1 } { 1 }  9 5 = 2 9 4
246.png	\overset { 1 } { }  \overset { 1 } { 7 }  7 4 + 5 4 5 = 1 3 1 8
247.png	7 7 \overset { 1 } { 3 }  - 5 \overset { 1 } { 4 }  5 = 2 2 8
248.png	8 9 8 - 7 5 4 = 1 4 4
249.png	\overset { 1 } { } \overset { 1 } { 8 }  \overset { 1 } { 9 }  4 + 7 5 8 = 1 6 5 2
250.png	7 \overset { 1 } { 0 }  2 - \overset { 1 } { 1 }  3 0 = 5 7 2
251.png	7 0 2 + 1 3 0 = 8 3 2
252.png	6 \overset { 1 } { 9 }  \overset { 1 } { 1 }  - \overset { 1 } { 5 }  \overset { 1 } { 9 }  6 = 0 9 5
253.png	2 \overset { 1 } { 2 }  9 + 2 3 9 = 4 6 8
254.png	\overset { 1 } { } \overset { 1 } { 5 }  6 + 4 6 = 1 0 2
255.png	6 2 - 5 1 = 1 1
256.png	\overset { 1 } { 1 }  \overset { 1 } { 9 }  6 + 2 4 = 2 2 0
257.png	7 \overset { 1 } { 0 }  - \overset { 1 } { 5 }  1 = 1 9
258.png	\overset { 1 } { } \overset { 1 } { 4 }  8 + 6 6 = 1 1 4
259.png	\overset { 1 } { 2 }  5 0 + 6 8 = 3 1 8
260.png	2 \overset { 1 } { 5 }  \overset { 1 } { 0 }  - \overset { 1 } { } \overset { 1 } { 6 }  8 = 1 8 2
261.png	1 \overset { 1 } { 1 }  \overset { 1 } { 1 }  - \overset { 1 } { } \overset { 1 } { 2 }  3 = 0 8 8
262.png	5 8 - 4 5 = 1 3
263.png	1 \overset { 1 } { 6 }  \overset { 1 } { 1 }  - \overset { 1 } { } \overset { 1 } { 9 }  2 = 0 6 9
264.png	\overset { 1 } { 2 }  \overset { 1 } { 9 }  1 + 1 9 = 3 1 0
265.png	2 9 \overset { 1 } { 1 }  - \overset { 1 } { 1 }  9 = 2 7 2
266.png	2 \overset { 1 } { 2 }  5 - \overset { 1 } { 1 }  3 5 = 0 9 0
267.png	\overset { 1 } { 1 }  \overset { 1 } { 8 }  3 + 2 5 9 = 4 4 2
268.png	1 \overset { 1 } { 3 }  9 + 1 3 5 = 2 7 4
269.png	1 \overset { 1 } { 2 }  9 + 2 4 8 = 3 7 7
270.png	2 4 \overset { 1 } { 8 }  - 1 \overset { 1 } { 2 }  9 = 1 1 9
271.png	\overset { 1 } { 1 }  8 1 + 1 9 4 = 3 7 5
272.png	\overset { 1 } { 2 }  \overset { 1 } { 8 }  9 + 2 4 7 = 5 3 6
273.png	2 8 \overset { 1 } { 7 }  - 2 \overset { 1 } { 4 }  9 = 0 3 8
274.png	\overset { 1 } { 1 }  7 1 + 5 8 = 2 2 9
275.png	1 7 \overset { 1 } { 1 }  - \overset { 1 } { 5 }  8 = 1 1 3
276.png	1 4 \overset { 1 } { 1 }  - \overset { 1 } { } 6 = 1 3 5
277.png	\overset { 1 } { 1 }  9 1 + 7 8 = 2 6 9
278.png	1 9 \overset { 1 } { 1 }  - \overset { 1 } { 7 }  8 = 1 1 3
279.png	1 \overset { 1 } { 2 }  \overset { 1 } 0 - \overset { 1 } { } \overset { 1 } { 6 }  3 = 0 5 7
280.png	1 \overset { 1 } { 0 }  \overset { 1 } { 0 }  - \overset { 1 } { } \overset { 1 } { } 9 = 0 9 1
281.png	1 \overset { 1 } { 0 }  7 + 7 9 = 1 8 6
282.png	1 \overset { 1 } { 0 }  \overset { 1 } { 7 }  - \overset { 1 } { } \overset { 1 } { 7 }  9 = 2 8
283.png	1 \overset { 1 } { 0 }  1 - \overset { 1 } { } 9 1 = 0 1 0
284.png	1 \overset { 1 } { 1 }  6 - \overset { 1 } { } 5 4 = 0 6 2
285.png	1 \overset { 1 } { 1 }  6 + 5 4 = 1 7 0
286.png	1 \overset { 1 } { 0 }  \overset { 1 } { 5 }  - \overset { 1 } { } \overset { 1 } { 8 }  7 = 0 1 8
287.png	\overset { 1 } { 3 }  6 + 1 0 9 = 1 4 5
288.png	\overset { 1 } { } \overset { 1 } { } \overset { 1 } { 9 }  9 + 9 9 9 = 1 0 9 8 
289.png	9 1 - \overset { 1 } { } 2 = 8 9
290.png	3 4 1 + 5 4 8 = 8 8 9
291.png	9 5 \overset { 1 } { 2 }  - 1 \overset { 1 } { 4 }  9 = 8 0 3
292.png	\overset { 1 } { } \overset { 1 } { 9 }  \overset { 1 } { 5 }  2 + 1 4 9 = 1 1 0 1
293.png	\overset { 1 } { 7 }  \overset { 1 } { 9 }  4 + 6 9 = 8 6 3
294.png	6 \overset { 1 } { 2 }  7 - \overset { 1 } { 5 }  9 1 = 0 3 6
295.png	\overset { 1 } { } \overset { 1 } { 9 }  \overset { 1 } { 9 }  8 + 6 7 8 = 1 6 7 6
296.png	6 \overset { 1 } { 8 }  \overset { 1 } { 1 }  - \overset { 1 } { } \overset { 1 } { 9 }  2 = 5 8 9
297.png	\overset { 1 } { 6 }  8 1 + 9 2 = 7 7 3
298.png	7 9 \overset { 1 } { 2 }  - 3 \overset { 1 } { 8 }  5 = 4 0 7
299.png	9 \overset { 1 } { 2 }  \overset { 1 } { 3 }  - \overset { 1 } { } \overset { 1 } { 4 }  7 = 8 7 6
300.png	4 \overset { 1 } { 0 }  \overset { 1 } { 0 }  - \overset { 1 } { 1 }  \overset { 1 } { 8 } 1 = 2 1 9
301.png	\overset { 1 } { } \overset { 1 } { 2 }  \overset { 1 } { 1 }  4 + 8 8 9 = 1 1 0 3
302.png	8 \overset { 1 } { 1 }  \overset { 1 } { 0 }  - \overset { 1 } { 3 }  \overset { 1 } { 3 }  1 = 4 7 9
303.png	\overset { 1 } { } \overset { 1 } { 9 }  \overset { 1 } { 7 }  6 + 1 5 1 = 1 1 3 7
304.png	9 7 6 - 1 5 1 = 8 2 5
