1.png	1 1 +  6 4 = 7 5 
107.png	5 \overset { 1 } { 2 }  \overset { 1 } { 2 }  - \overset { 1 } { 4 }  \overset { 1 } { 6 }  8 = 0 5 4 
108.png	\overset { 1 } { 8 }  \overset { 1 } { 8 }  3 + 4 2 7 = 1 3 1 0 
109.png	5 \overset { 1 } { 0 }  \overset { 1 } { 6 }  - \overset { 1 } { 3 }  \overset { 1 } { 7 }  9 = 1 2 7 
112.png	8 \overset { 1 } { 0 }  - \overset { 1 } { 4 }  4 = 3 6 
113.png	5 9 3 - 5 9 3 = 0 
114.png	\overset { 1 } { 2 }  4 + 1 9 = 4 3 
115.png	9 \overset { 1 } { 3 }  - \overset { 1 } { 6 }  5 = 2 8 
116.png	\overset { 1 } { 1 }  \overset { 1 } { 8 }  8 + 2 6 9 = 4 5 7 
117.png	5 \overset { 1 } { 4 }  5 - \overset { 1 } { 3 }  5 4 = 1 9 1 
118.png	4 4 4 + 4 4 4 = 8 8 8  
120.png	9 8 \overset { 1 } { 3 }  - 1 \overset { 1 } { 2 }  9 = 8 5 4 
121.png	3 \overset { 1 } { 0 }  2 + 5 6 8 = 8 7 0 
122.png	7 \overset { 1 } { 5 }  \overset { 1 } { 0 }  - \overset { 1 } { 6 }  \overset { 1 } { 9 }  5 = 0 5 5 
124.png	\overset { 1 } { 1 }  4 8 + 3 9 1 = 5 3 9 
125.png	6 \overset { 1 } { 4 }  \overset { 1 } { 1 }  - \overset { 1 } { 2 }  \overset { 1 } { 7 }  6 = 3 6 5 
127.png	6 \overset { 1 } { 1 }  \overset { 1 } { 1 }  - \overset { 1 } { 5 }  \overset { 1 } { 2 }  8 = 0 8 3
129.png	7 2 \overset { 1 } { 3 }  - 4 \overset { 1 } { 0 }  8 = 3 1 5
132.png	\overset { 1 } 3 9 8 + 5 7 0 = 9 6 8
133.png	6 \overset { 1 } { 1 }  1 - \overset { 1 } { 1 }  8 1 = 4 3 0
134.png	\overset { 1 } { 2 }  \overset { 1 } { 2 }  4 + 1 9 8 = 4 2 2
135.png	2 \overset { 1 } { 2 }  \overset { 1 } { 4 }  - \overset { 1 } { 1 }  \overset { 1 } { 9 }  8 = 0 2 6
136.png	5 \overset { 1 } { 0 }  \overset { 1 } { 0 }  - \overset { 1 } { 4 }  \overset { 1 } { 9 }  9 = 0 0 1
137.png	\overset { 1 } { 3 }  5 5 + 1 5 0 = 5 0 5
140.png	7 \overset { 1 } { 2 }  \overset { 1 } { 8 }  - \overset { 1 } { 3 }  \overset { 1 } { 4 }  9 = 3 7 9
142.png	8 \overset { 1 } { 1 }  - \overset { 1 } { 5 }  5 = 2 6
143.png	3 \overset { 1 } { 1 }  \overset { 1 } { 1 }  - \overset { 1 } { 1 }  \overset { 1 } { 1 }  2  = 1 9 9
145.png	\overset { 1 } { 1 }  \overset { 1 } { 8 }  7 + 1 8 = 2 0 5
147.png	4 \overset { 1 } { 3 }  9 - \overset { 1 } { 2 }  8 5 = 1 5 4
150.png	\overset { 1 } { 2 }  \overset { 1 } { 4 }  8 + 3 5 9 = 6 0 7
151.png	8 + 8 = 1 6
152.png	\overset { 1 } { 1 } 6 + 1 6 = 3 2
153.png	3 2 + 3 2 = 6 4
154.png	6 4 + 6 4 = 1 2 8
155.png	1 \overset { 1 } { 2 } 8 + 1 2 8 = 2 5 6
156.png	\overset { 1 } { 2 } \overset { 1 } { 5 } 6 + 2 5 6 = 5 1 2
157.png	5 1 2 + 5 1 2 = 1 0 2 4
158.png	3 + 3 = 6
159.png	6 + 6 = 1 2
160.png	1 2 + 1 2 = 2 4
161.png	2 4 + 2 4 = 4 8
162.png	\overset { 1 } { 4 } 8 + 4 8 = 9 6
163.png	\overset { 1 } { 9 } 6 + 9 6 = 1 9 2
164.png	\overset { 1 } { 1 } 9 2 + 1 9 2 = 3 8 4
165.png	\overset { 1 } { 3 } 8 4 + 3 8 4 = 7 6 8
166.png	\overset { 1 } { 7 } \overset { 1 } { 6 } 8 + 7 6 8 = 1 5 3 6
167.png	4 + 4 = 8
168.png	\overset { 1 } { 4 } \overset { 1 } { 5 } 6 + 6 5 4 = 1 1 1 0
169.png	1 2 3 + 3 2 1 = 4 4 4
170.png	1 5 1 + 6 2 6 = 7 7 7
171.png	\overset { 1 } { 3 } 6 + 2 4 = 6 0
172.png	5 + 4 = 9
173.png	3 + 4 = 7
174.png	7 + 1 = 8
175.png	1 3 + 9 1 = 1 0 4
